Restaurant ID,Restaurant Name,Event ID,Photo URL,Event Start Date,Event End Date,Event Title
18397684,Craftbar,292701,NA,2019-02-01,2019-04-30,Friday Bollywood Night 
18397684,Craftbar,292145,NA,2019-02-07,2019-04-30,Thursday Retro Night 
18397684,Craftbar,310422,https://b.zmtcdn.com/data/zomato_events/photos/414/86acaed3c9bbaffd45bc8edc2cbd6414_1550216011.jpg,2019-02-15,2019-04-30,Sunday Karaoke Night 
18397684,Craftbar,309090,NA,2019-02-20,2019-04-30,Wednesday Angel's Night 
18691230,Grandmama's Café,310712,https://b.zmtcdn.com/data/zomato_events/photos/224/073b2cdc488f5565aabd131ca39ae224_1549624365.jpeg,2019-02-09,2019-04-20,Grandmama's Burger Shake & Fries Combo
18706428,Byg Brewski Brewing Company,279297,https://b.zmtcdn.com/data/zomato_events/photos/580/3acad326494a417b48055743f9055580_1543487035.jpg,2018-11-29,2019-04-30,Byg Spirited Labels
18871246,ShakesBierre,329360,https://b.zmtcdn.com/data/zomato_events/photos/9d4/56c8e94dd9f3ccd4507446ed780889d4_1553239385.jpg,2019-03-22,2019-04-30,MOODYMONDAYS
18871246,ShakesBierre,329396,https://b.zmtcdn.com/data/zomato_events/photos/aaf/bd66f7346b4329eb6e6af3fa2f682aaf_1553244004.jpg,2019-03-22,2019-04-30,SUNDAYBRUNCH
18871246,ShakesBierre,329375,https://b.zmtcdn.com/data/zomato_events/photos/49a/59db9024e66a2b28527b8ba52836b49a_1553240620.jpg,2019-03-22,2019-04-30,FABULOUSFRIDAY
18871246,ShakesBierre,329363,https://b.zmtcdn.com/data/zomato_events/photos/aa6/c82d40508883a128835dee03a17dbaa6_1553239679.jpg,2019-03-22,2019-04-30,BIERRAOKE
18871246,ShakesBierre,329793,https://b.zmtcdn.com/data/zomato_events/photos/24b/1a98ba93fdd39d2f38a796d959fca24b_1553327422.jpg,2019-03-23,2019-04-30,SWAGGERSATURDAY
18871246,ShakesBierre,332383,https://b.zmtcdn.com/data/zomato_events/photos/921/aac386792791cc0d57170c8c69259921_1553779838.jpg,2019-03-28,2019-04-30,STANDUPCOMEDY
18772094,Bombay Adda,335948,https://b.zmtcdn.com/data/zomato_events/photos/e42/9bc929b0f3d42c75d9f8b200c58a8e42_1554468914.jpg,2019-04-11,2019-04-12,Ladies & Models Night Ft. DJ Njay
18772094,Bombay Adda,335953,https://b.zmtcdn.com/data/zomato_events/photos/5b9/8b95311c377aeb3c52778b4787b465b9_1554469109.jpg,2019-04-12,2019-04-13,Friday Night Ft. Kaleem & Basand
18772094,Bombay Adda,335954,https://b.zmtcdn.com/data/zomato_events/photos/7ff/80001b30b1ecbc35a214ac16867857ff_1554469271.jpg,2019-04-13,2019-04-14,Saturday Night Ft. Kaleem & Basand
18772094,Bombay Adda,335989,https://b.zmtcdn.com/data/zomato_events/photos/daf/f8880703cde05ef2d9a60c58fef8edaf_1554471175.jpg,2019-04-14,2019-04-15,Unplugged Night Ft. Saher
18387426,The Black Pearl,334204,https://b.zmtcdn.com/data/zomato_events/photos/f38/eea3d5b94fc9a3385ab5193173f17f38_1554190514.jpeg,2019-04-02,2020-03-31,Multiple Corporate Offers at the Black Pearl Marathahalli 
18387426,The Black Pearl,334206,https://b.zmtcdn.com/data/zomato_events/photos/f17/c049f9aeddd7129eb083bb426172cf17_1554190681.jpeg,2019-04-02,2020-03-31,Early Bird & Late Bird Offers at Black Pearl 
18387426,The Black Pearl,334210,https://b.zmtcdn.com/data/zomato_events/photos/763/823547a36ed40f9b4bec7ab5f4b25763_1554190858.jpeg,2019-04-02,2020-03-31,Cocktails and Mocktails offers at Black Pearl 
54162,The Black Pearl,302811,https://b.zmtcdn.com/data/zomato_events/photos/9b0/b9a7af4c9c397442df4c644bfe7b59b0_1548229153.jpg,2019-01-23,2019-04-30,Special Pirate Packages for Lunch 
54162,The Black Pearl,336921,https://b.zmtcdn.com/data/zomato_events/photos/f93/c3f8ad86820067b04cd99322f8a55f93_1554730197.jpeg,2019-04-08,2020-03-31,Unlimited Alcohol Offers at The Black Pearl
54162,The Black Pearl,336924,https://b.zmtcdn.com/data/zomato_events/photos/2d6/138ca755a6df9ffa0e24ab4f6a4c02d6_1554730441.jpeg,2019-04-08,2020-03-31,"Every 11 pax get 1 free buffet, Every 20 pax get 2 free buffet"
54162,The Black Pearl,336929,https://b.zmtcdn.com/data/zomato_events/photos/7dd/f8ed5d2cae323b42cfc3f977d04e97dd_1554730625.jpeg,2019-04-08,2020-03-31,Early Bird Offer & Full Bottle Offer
54162,The Black Pearl,336932,https://b.zmtcdn.com/data/zomato_events/photos/359/40bdc0c46472fe6eeb756f47fce01359_1554730726.jpeg,2019-04-08,2020-03-31,Sunday Specials at The Black Pearl
18595782,The Pallet,251427,https://b.zmtcdn.com/data/zomato_events/photos/7df/819679a3c0fd7f5a2ced303beb7127df_1543831739.png,2019-04-10,2019-04-10,The Desi Electrifier Night | Every Wednesday | Ft. DJ 303K | Bollywood Deep House
18595782,The Pallet,194302,https://b.zmtcdn.com/data/zomato_events/photos/7ac/09491fa11a739d713476a6c39d4e57ac_1529659598.jpg,2019-04-11,2019-04-11,Planning an office event? | Corporate Packages & Discounts
18595782,The Pallet,332104,https://b.zmtcdn.com/data/zomato_events/photos/398/d953b1f30315f62282e23290285bf398_1553754376.jpg,2019-04-11,2019-04-11,Live T-20 Sports Screening | Beer Pitchers @ 500/-
18595782,The Pallet,262407,https://b.zmtcdn.com/data/zomato_events/photos/427/5db986338bdd4e40df5e7bc53fb81427_1546863206.jpg,2019-04-12,2019-04-12,BollyEDM Night | This Friday | Ft. DJ Ashwin | EDM and Bollywood Night
18595782,The Pallet,199069,https://b.zmtcdn.com/data/zomato_events/photos/17c/eaf36fb26869a1545a1608810b88117c_1538976173.jpg,2019-04-13,2019-04-13,Bollywood Night Ft. DJ SAM | Live Dhol Performance
18595782,The Pallet,206595,https://b.zmtcdn.com/data/zomato_events/photos/5ef/a4d5e1e3e66b9b083494866b420fa5ef_1546847980.jpg,2019-04-14,2019-04-14,Sunday Brunch
18595782,The Pallet,288350,https://b.zmtcdn.com/data/zomato_events/photos/6bf/f8f0ab4942a0a077e4b74f09239e96bf_1547112109.png,2019-04-14,2019-04-14,Sunday Rewind | Ft. DJ Sam
18595782,The Pallet,204342,https://b.zmtcdn.com/data/zomato_events/photos/428/ae636e527abfe9c086d861b2f9602428_1546591272.png,2019-04-15,2019-04-15,Corporate Lunch | Buffet | Monday - Saturday | @ INR 599
18595782,The Pallet,264218,https://b.zmtcdn.com/data/zomato_events/photos/66f/57ce93ad5437845e88ec3ef7c424c66f_1539599793.jpg,2019-04-15,2019-04-15,Monday Madness | Ft. DJ Sam | Full Day Happy Hours
18537585,The Reservoire,309852,NA,2019-04-02,2019-05-07,Happy Corporate Hours: 15% off! 
18537585,The Reservoire,317312,https://b.zmtcdn.com/data/zomato_events/photos/92c/558b523c78baa78dbccfb6c73eacb92c_1554826980.jpg,2019-04-09,2019-05-26,Happy Hours @ Reservoire
18537585,The Reservoire,337463,https://b.zmtcdn.com/data/zomato_events/photos/587/e83c2132c75013e76d5fd7121314d587_1554827399.jpg,2019-04-09,2019-06-09,SUNDAY TIKI BRUNCH
18709627,Simon Says Brew Works,330592,https://b.zmtcdn.com/data/zomato_events/photos/625/99bb1e255821323769b97107ed7bc625_1554463669.jpg,2019-03-25,2019-04-30,HAPPY HOURS 1+1 ON ALL LIQUORS FULL DAY
18709627,Simon Says Brew Works,331692,https://b.zmtcdn.com/data/zomato_events/photos/688/68c65e657ea7b23ec762b39af04bc688_1553673043.jpg,2019-03-27,2019-04-30,WEDNESDAY LADIES NIGHT WITH DJ ARPITAA 
18709627,Simon Says Brew Works,332016,https://b.zmtcdn.com/data/zomato_events/photos/6a1/cc0c29d3198cdf705b24ddcdd08636a1_1553710491.jpg,2019-03-27,2019-04-30,SEASONAL FRUITS BREWED BEER
18709627,Simon Says Brew Works,332132,https://b.zmtcdn.com/data/zomato_events/photos/912/8edbcb764b179a28de44b410ec965912_1553758329.jpg,2019-03-28,2019-04-30,WEEKLY OFFERS AND EVENTS
18709627,Simon Says Brew Works,315874,https://b.zmtcdn.com/data/zomato_events/photos/278/bb1e372263762c810a7c220d732bd278_1550569902.jpg,2019-03-28,2019-04-26,Bollywood Night with DJ Oppozit
18727906,XOOX Brewmill,320441,https://b.zmtcdn.com/data/zomato_events/photos/aa2/b5391dff2f22069e9c46251edd4afaa2_1554104249.jpg,2019-04-08,2019-04-30,Happy Hours Menu
18727906,XOOX Brewmill,317384,https://b.zmtcdn.com/data/zomato_events/photos/43f/629c8b3d6834c77322cc07dd7210f43f_1533582873.jpg,2019-04-08,2019-04-30,Plan Your Corporate Event!
18727906,XOOX Brewmill,319262,https://b.zmtcdn.com/data/zomato_events/photos/bd6/702aa2516493c5e13d14ba6a65d4ebd6_1553320598.jpg,2019-04-09,2019-05-05,X019' Match Screening 
18727906,XOOX Brewmill,314958,https://b.zmtcdn.com/data/zomato_events/photos/2e1/cb5585c6669f8456c20af9f12eabb2e1_1552052914.jpg,2019-04-13,2019-04-30,Unlimited Sparkling Wine Brunch !
18880433,BeHive,337514,https://b.zmtcdn.com/data/zomato_events/photos/7cd/349ff41efcc982b82ad889684803a7cd_1554865907.jpg,2019-04-10,2019-04-10,"queen bees , ladies night"
6508166,Flying Duck Co.,337013,https://b.zmtcdn.com/data/zomato_events/photos/10e/3f9ce11fe6d2bf7263974e5d188be10e_1552983128.jpg,2019-04-09,2019-04-11,Alcoholic Weekdays! 
6508166,Flying Duck Co.,337015,https://b.zmtcdn.com/data/zomato_events/photos/0f1/62519986315c982e1bd127af1e5af0f1_1553061040.jpg,2019-04-10,2019-04-10,Girls Night Out
18784250,Universal Barbeque,332959,https://b.zmtcdn.com/data/zomato_events/photos/335/a6598b1e960e98d9447d4e03c06cc335_1553873543.jpeg,2019-03-29,2019-04-30,FAMILY OFFER
18740139,Grandmama's Cafe,329559,https://b.zmtcdn.com/data/zomato_events/photos/ce7/f68ca85fd4194e229684269af3748ce7_1553259518.jpg,2019-04-11,2019-04-11,Grandma's Quiz Night! 
18417624,The Sassy Spoon,336866,NA,2019-04-08,2019-12-31,Gossip & Giggles 
18417624,The Sassy Spoon,336867,NA,2019-04-08,2019-12-31,A Night to Remember 
